year,artist,title,spotify_query,spotify_id
1982,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1982,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1982,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1983,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1983,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1983,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1983,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1983,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1983,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1983,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1983,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1983,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1983,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1984,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1984,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1984,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1984,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1984,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1984,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1984,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1984,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1984,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1984,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1985,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1985,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1985,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1985,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1985,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1985,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1985,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1985,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1985,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1985,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1986,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1986,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1986,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1986,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1986,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1986,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1986,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1986,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1986,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1986,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1987,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1987,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1987,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1987,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1987,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1987,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1987,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1987,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1987,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1987,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1988,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1988,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1988,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1988,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1988,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1988,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1988,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1988,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1988,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1988,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1989,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1989,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1989,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1989,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1989,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1989,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1989,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1989,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1989,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1989,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1990,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1990,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1990,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1990,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1990,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1990,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1990,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1990,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1990,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1990,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1991,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1991,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1991,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1991,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1991,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1991,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1991,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1991,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1991,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1991,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1992,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1992,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1992,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1992,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1992,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1992,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1992,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1992,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1992,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1992,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1993,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1993,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1993,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1993,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1993,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1993,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1993,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1993,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1993,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1993,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1994,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1994,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1994,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1994,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1994,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1994,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1994,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1994,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1994,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1994,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1995,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1995,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1995,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1995,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1995,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1995,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1995,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1995,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1995,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1995,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1996,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1996,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1996,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1996,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1996,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1996,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1996,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1996,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1996,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1996,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1997,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1997,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1997,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1997,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1997,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1997,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1997,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1997,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1997,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1997,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1998,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1998,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1998,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1998,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1998,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1998,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1998,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1998,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1998,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1998,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1999,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1999,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1999,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1999,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1999,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1999,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1999,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1999,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1999,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1999,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
2000,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
2000,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
2000,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
2000,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
2000,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
2000,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
2000,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
2000,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
